platform,rating,text,date,thumbsUp,reviewer
Just Eat,3,Great service but it's getting ridiculous with charges. Have started using alternatives or using the restaurant directly. Food is already priced high and then nearly 10 euro more in charges compared to in the restaurant itself. Crazy and a shame,2025-03-08 00:46:19,3,Murray Mints
Just Eat,1,I have ordered food and both times my order has not shown up no calls from the driver and when I counted just eat for a refund they are no help they said I have missed calls but no one has called and when I emailed they don't get back to me I have video proof that we was not there if I could take away stars I would the customer service is a joke,2025-03-07 21:50:43,1,Keith Rellis
Just Eat,5,excellent service and delivery,2025-03-07 21:34:15,1,Guiglio Pingo
Just Eat,5,the best around limerick eating out off there since the day they opened workers are very nice and kind same delivery drivers lovely to talk to and fast as Well x,2025-03-06 05:47:09,0,Catherine Aylmer
Just Eat,5,This app is so handy.,2025-03-06 01:19:34,0,Lisa Spencer
Just Eat,5,always making it easy to get fed .. simplicity works why complicate things .. A+,2025-03-05 23:09:32,2,Patrick Thomas
Just Eat,5,Excellent addition to the town,2025-03-03 02:38:05,1,Gavin O'Donnell
Just Eat,1,Serious problems with theft from their couriers now. Disgusting,2025-03-01 14:19:02,0,muscle endurance
Just Eat,5,KEBABS,2025-03-01 02:54:36,1,LazFishy *
Just Eat,5,A great favourite since a kid.,2025-03-01 00:38:20,1,Conor McNally
Just Eat,1,stop asking me to review,2025-02-26 06:32:03,0,Jonathan O
Just Eat,1,Just eat has got to expensive to order from both delivery and service charge has gone Up in last few months. 👎 cheaper to drive and collect myself now. plus the restaurant/ take away doesn't lose out on commission..,2025-02-24 19:13:51,1,alan C
Just Eat,5,absolutely gorgeous pizza and very prompt delivery. It arrived hot and was delicious 😋,2025-02-24 00:57:07,6,Helen Ruane
